conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.92026E+18,Wed May 07 23:32:36 +0000 2025,0,me transformaram em um bts KKKMKKKKKKK,1.92026E+18,,,in,,0,0,0,https://x.com/undefined/status/1920260509783212233,1.1934E+18,
1.92026E+18,Wed May 07 23:32:04 +0000 2025,11,@BTS_twt___JKOOK Selamat pagi juga JEON https://t.co/dDuixGbplQ,1.92026E+18,https://pbs.twimg.com/tweet_video_thumb/GqYioG7bMAEburJ.jpg,BTS_twt___JKOOK,in,,0,0,0,https://x.com/undefined/status/1920260374806606233,1.61195E+18,
1.92009E+18,Wed May 07 23:29:36 +0000 2025,0,@kiyyoowo ihhhhh aku ketinggalan,1.92026E+18,,kiyyoowo,in,,0,0,0,https://x.com/undefined/status/1920259753575338141,2156788034,
1.92026E+18,Wed May 07 23:29:32 +0000 2025,1,Lalalallala BTS Pop-Up: Space Of BTS https://t.co/UwKgOzDIka,1.92026E+18,https://pbs.twimg.com/media/GqYiDHjaYAESSJz.jpg,,in,,0,0,0,https://x.com/undefined/status/1920259737901265044,146169877,
1.92026E+18,Wed May 07 23:28:06 +0000 2025,0,album bts pertamakuuuu skrng dah gk gini,1.92026E+18,,,in,,0,0,0,https://x.com/undefined/status/1920259377581170697,1.51162E+18,
1.92026E+18,Wed May 07 23:26:06 +0000 2025,3,a fanart do bts KKSKWKWKWKWKK,1.92026E+18,,,in,,0,1,0,https://x.com/undefined/status/1920258870657667177,1.40822E+18,
1.92E+18,Wed May 07 23:24:02 +0000 2025,0,@impetrikkk @einherjarrrrrrr @h0neys_ Galonnya punya kaki,1.92026E+18,,impetrikkk,in,,0,0,0,https://x.com/undefined/status/1920258352078024769,1.31265E+18,
1.92026E+18,Wed May 07 23:23:09 +0000 2025,0,el hombre que eres kim seokjin https://t.co/WLhfUkPLO8,1.92026E+18,https://pbs.twimg.com/media/GqYgl6MXMAAzib6.jpg,,in,,0,0,0,https://x.com/undefined/status/1920258130035855425,1.22228E+18,
1.92026E+18,Wed May 07 23:19:10 +0000 2025,0,@BTS_twt SUG.. YOONGI.. KEUN MEOLI PABO.. Can I be kept by you?,1.92026E+18,,BTS_twt,in,,0,1,0,https://x.com/undefined/status/1920257129039921386,1012711038,
1.92026E+18,Wed May 07 23:18:59 +0000 2025,7,wkwk kata opnya pas bts photoshoot doun doun cerita piyamanya nyaman bgt kan kemaren trus opnya keinget cerita wonpil yang pernah negur doun kalo tidur tuh plis bgt pake piyama ato baju apa gitu kek https://t.co/TzKcIHbWAi,1.92026E+18,https://pbs.twimg.com/amplify_video_thumb/1920017357361315840/img/jrCyQ4TGWCuZpBGS.jpg,,in,,0,1,0,https://x.com/undefined/status/1920257081380057312,1.8254E+18,
1.92017E+18,Wed May 07 23:18:17 +0000 2025,5,@starlustty_ sama kak. bukan hanya soal bts tp bulan itu job mua ku berdatangan. sedangkan bulan ini pengeluaran sampe titik darah penghabisan,1.92026E+18,,starlustty_,in,,0,1,0,https://x.com/undefined/status/1920256903567016221,1.38941E+18,
1.91999E+18,Wed May 07 23:17:40 +0000 2025,1,@luvgoogie_ berharap semua ada sih tapi kalaupun mungkin yoongi gak hadir karena masih ada beberapa hari lagi tapi mudah2an ada semacam video atau surat atau apapun yg dia ucapkan buat hari anniversarh bangtan biar hati kita plong bahwa bts tetep 7 tanpa ,1.92026E+18,,luvgoogie_,in,,0,0,0,https://x.com/undefined/status/1920256751556759552,1.51294E+18,
1.92026E+18,Wed May 07 23:17:26 +0000 2025,5,pagiiii kok aku punya feeling kalo sesuatu yang mau diumumin di final HOS tour itu TANGGAL COMEBACK BTS YA?,1.92026E+18,,,in,,0,8,2,https://x.com/undefined/status/1920256690709991670,1.35254E+18,
1.92024E+18,Wed May 07 23:17:24 +0000 2025,0,@myngloss Gngmgmg,1.92026E+18,,myngloss,in,,0,0,0,https://x.com/undefined/status/1920256682774421785,1.59184E+18,
1.92025E+18,Wed May 07 23:16:42 +0000 2025,0,@rmvsjk Soyi nhi tum?,1.92026E+18,,rmvsjk,in,,0,1,0,https://x.com/undefined/status/1920256507783921890,1.39901E+18,
1.92011E+18,Wed May 07 23:16:22 +0000 2025,0,@imzhaolusi Kan memang member bts wkwk,1.92026E+18,,imzhaolusi,in,,0,0,0,https://x.com/undefined/status/1920256423386092019,1.40695E+18,
1.92026E+18,Wed May 07 23:14:52 +0000 2025,0,Ang mahal ng sm ticket fee yung totoo ,1.92026E+18,,,tl,,0,1,0,https://x.com/undefined/status/1920256047165399511,7.64383E+17,
1.92026E+18,Wed May 07 23:12:37 +0000 2025,1,Suju aku berenti tepat setelah mereka mendunia sejak Album sorry sorry keluar Infinite aku berenti karna udah sibuk kuliah EXO aku berhenti tepat setelah mereka mendunia BTS aku berhenti setelah mereka mendunia Sekarang Day6 apakah memang sudah waktunya aku berhenti?,1.92026E+18,,,in,,0,2,1,https://x.com/undefined/status/1920255480045449632,1.68105E+18,
1.91998E+18,Wed May 07 23:10:12 +0000 2025,0,@gyulittlepuppy bts awal msh dpt poster jg gw,1.92025E+18,,gyulittlepuppy,in,,0,0,0,https://x.com/undefined/status/1920254869648081099,2956712222,
1.92025E+18,Wed May 07 23:08:28 +0000 2025,1,Random bgt tp selama w ngestan bts dri 2016 gue ada minat ke korea samsek malah pengennya ke jepang tp tikectijg konser bts jepang ribet bgt,1.92025E+18,,,in,,0,0,0,https://x.com/undefined/status/1920254434682044704,1.25901E+18,
1.92016E+18,Wed May 07 22:29:43 +0000 2025,0,@yor_art_taebear Nahhh frrr,1.92024E+18,,yor_art_taebear,in,,0,0,0,https://x.com/undefined/status/1920244683428495798,1.55447E+18,
1.91667E+18,Wed May 07 22:27:58 +0000 2025,0,@Gikselle @Tmesan HAHAH ngga sampe 2 abad tapi memang yeah everything takes time. Anjay. BTW ANJIR KOK BTS. Semoga betah jadi mamahku juga ya.,1.92024E+18,,Gikselle,in,,0,1,0,https://x.com/undefined/status/1920244243487985807,1032154171,
1.92003E+18,Wed May 07 22:27:53 +0000 2025,0,@bts_twt_YNG1 Semoga panjang umur sep,1.92024E+18,,bts_twt_YNG1,in,,0,0,0,https://x.com/undefined/status/1920244221124227345,1.91355E+18,
